Wave,Trans
360,0.662429976
365,0.679563819
370,0.694409032
375,0.708315616
380,0.720606151
385,0.734180483
390,0.74619321
395,0.757586098
400,0.768328457
405,0.778597145
410,0.788302621
415,0.797492713
420,0.806224891
425,0.814403749
430,0.822324927
435,0.829696083
440,0.836488815
445,0.842761072
450,0.849393457
455,0.855442165
460,0.86023706
465,0.865752186
470,0.870066984
475,0.873017614
480,0.876171879
485,0.88200234
490,0.886216033
495,0.889681225
500,0.890934207
505,0.890794756
510,0.895623121
515,0.898411569
520,0.900247449
525,0.899992109
530,0.89902611
535,0.900699856
540,0.902642813
545,0.902925349
550,0.904449166
555,0.905139654
560,0.903860587
565,0.901832728
570,0.898482131
575,0.89755263
580,0.902351082
585,0.908982635
590,0.90321117
595,0.903872515
600,0.908164736
605,0.911125333
610,0.915538496
615,0.919830062
620,0.922853304
625,0.924392144
630,0.916546976
635,0.93101408
640,0.936690808
645,0.939795983
650,0.939800357
655,0.942613582
660,0.948717652
665,0.951941051
670,0.954753913
675,0.957189503
680,0.959223725
685,0.955948195
690,0.89116698
695,0.946076325
700,0.954394775
705,0.961505635
710,0.966185478
715,0.963195111
720,0.903199377
725,0.918603349
730,0.935499936
735,0.965150009
740,0.972049673
745,0.975498808
750,0.976569061
755,0.977958413
760,0.585437036
765,0.766612651
770,0.972305135
775,0.979773952
780,0.980199903
785,0.980395952
790,0.974438782
795,0.978040998
800,0.976237079
805,0.978993177
810,0.975993579
815,0.922352503
820,0.939931084
825,0.950200714
830,0.946852693
835,0.972501184
840,0.981644647
845,0.984868454
850,0.985117196
855,0.985806035
860,0.987207464
865,0.988018679
870,0.988459481
875,0.988756256
880,0.988537283
885,0.987788171
890,0.987248762
895,0.95134456
900,0.887841244
905,0.950907734
910,0.909385551
915,0.903583877
920,0.949275261
925,0.948973721
930,0.814393754
935,0.616992916
940,0.793483195
945,0.713935204
950,0.74635619
955,0.779128775
960,0.817462206
965,0.869231635
970,0.94901896
975,0.914991504
980,0.947091976
985,0.978760529
990,0.988622945
995,0.991654889
1000,0.991126756
1005,0.991572769
1010,0.990494114
1015,0.992510537
1020,0.992390796
1025,0.992571767
1030,0.993504193
1035,0.993874559
1040,0.993777542
1045,0.993617973
1050,0.992677283
1055,0.991095456
1060,0.988266326
1065,0.986071917
1070,0.988230593
1075,0.989882243
1080,0.987403162
1085,0.981770849
1090,0.980537168
1095,0.971218063
1100,0.947435626
1105,0.930976807
1110,0.897000457
1115,0.727828565
1120,0.631211485
1125,0.57394737
1130,0.675115417
1135,0.527963659
1140,0.7725864
1145,0.651411144
1150,0.721332087
1155,0.794204664
1160,0.870327498
1165,0.922852303
1170,0.95024718
1175,0.941643033
1180,0.937420949
1185,0.942964326
1190,0.954781763
1195,0.962683479
1200,0.951446264
1205,0.950126416
1210,0.962881511
1215,0.972049918
1220,0.977424676
1225,0.982234785
1230,0.989302738
1235,0.991665147
1240,0.99176769
1245,0.990396442
1250,0.986342656
1255,0.977722573
1260,0.951776975
1265,0.911328945
1270,0.900063601
1275,0.958483254
1280,0.980198245
1285,0.989077526
1290,0.98771301
1295,0.982711158
1300,0.971939503
1305,0.951696491
1310,0.936987126
1315,0.918892328
1320,0.892450309
1325,0.898261748
1330,0.798873405
1335,0.802243584
1340,0.790559511
1345,0.635833714
1350,0.374599308
1355,0.129684164
1360,0.04716623
1365,0.054505791
1370,0.043287126
1375,0.149361312
1380,0.092756445
1385,0.08243967
1390,0.215236933
1395,0.111983654
1400,0.145759321
1405,0.190174328
1410,0.245409949
1415,0.328503021
1420,0.35179196
1425,0.45714308
1430,0.473896105
1435,0.467996547
1440,0.510864239
1445,0.528097085
1450,0.538618764
1455,0.720610407
1460,0.730511813
1465,0.653444901
1470,0.567936465
1475,0.70010211
1480,0.686376083
1485,0.752450354
1490,0.841157187
1495,0.878938182
1500,0.930233637
1505,0.921926054
1510,0.953391398
1515,0.964657799
1520,0.978449342
1525,0.985438829
1530,0.9884162
1535,0.989152927
1540,0.991259364
1545,0.994780939
1550,0.997096621
1555,0.997901976
1560,0.997742271
1565,0.995646969
1570,0.965029255
1575,0.963227314
1580,0.970891053
1585,0.993843458
1590,0.997698387
1595,0.996314346
1600,0.966320195
1605,0.96621605
1610,0.966820566
1615,0.990853181
1620,0.996827051
1625,0.997164934
1630,0.995352559
1635,0.992219096
1640,0.985912555
1645,0.983307938
1650,0.982945612
1655,0.989439042
1660,0.99369049
1665,0.971876963
1670,0.992504051
1675,0.992618542
1680,0.992934839
1685,0.991710364
1690,0.988633832
1695,0.988537035
1700,0.987143334
1705,0.983084626
1710,0.981562447
1715,0.980438242
1720,0.973817005
1725,0.96788265
1730,0.968338558
1735,0.961173654
1740,0.957381436
1745,0.939611201
1750,0.957249515
1755,0.94088744
1760,0.948386989
1765,0.902993947
1770,0.929169358
1775,0.880812776
1780,0.85073294
1785,0.805760093
1790,0.801280213
1795,0.721003425
1800,0.554528649
